"added_route_id","trip_id"
"216","33070602"
"214","32876392"
"216","32876392"
"214","32876390"
"216","32876390"
"214","32876388"
"216","32876388"
"214","32876461"
"216","32876461"
"214","32876253"
"216","32876253"
"214","32876920"
"216","32876920"
"214","32876684"
"216","32876684"
"214","32876726"
"216","32876726"
"214","32876641"
"216","32876641"
"214","32876697"
"216","32876697"
"214","32876706"
"216","32876706"
"214","32876942"
"216","32876942"
"214","32876645"
"216","32876645"
"214","32876944"
"216","32876944"
"214","32876686"
"216","32876686"
"214","32876683"
"216","32876683"
"214","32876719"
"216","32876719"
"214","32876717"
"216","32876717"
"214","32876817"
"216","32876817"
"214","32876809"
"216","32876809"
"214","32876807"
"216","32876807"
"214","32876806"
"216","32876806"
"214","32876802"
"216","32876802"
"214","32876800"
"216","32876800"
"214","32876798"
"216","32876798"
"214","32876722"
"216","32876722"
"214","32876819"
"216","32876819"
"214","32876811"
"216","32876811"
"214","32876815"
"216","32876815"
"214","32876068"
"216","32876068"
"214","33070604"
"216","33070604"
"214","32876359"
"216","32876359"
"214","33070605"
"216","33070605"
"214","32876095"
"216","32876095"
"214","32876365"
"216","32876365"
"214","33070606"
"216","33070606"
"214","33070607"
"216","33070607"
"214","32876367"
"216","32876367"
"214","32876453"
"216","32876453"
"214","32876097"
"216","32876097"
"214","32876369"
"216","32876369"
"214","32876371"
"216","32876371"
"214","32876061"
"216","32876061"
"214","32876449"
"216","32876449"
"214","32876445"
"216","32876445"
"214","32876441"
"216","32876441"
"214","32876464"
"216","32876464"
"214","32876104"
"216","32876104"
"214","32876455"
"216","32876455"
"214","32876101"
"216","32876101"
"214","33070682"
"216","33070682"
"214","32876337"
"216","32876337"
"214","32876339"
"216","32876339"
"214","32876214"
"216","32876214"
"214","32876329"
"216","32876329"
"214","33070685"
"216","33070685"
"214","33070684"
"216","33070684"
"214","32876351"
"216","32876351"
"214","32876208"
"216","32876208"
"214","33070683"
"216","33070683"
"214","32876331"
"216","32876331"
"214","33070681"
"216","33070681"
"214","32876353"
"216","32876353"
"214","33070680"
"216","33070680"
"214","33070678"
"216","33070678"
"214","32876252"
"216","32876252"
"214","32876106"
"216","32876106"
"214","32876186"
"216","32876186"
"214","32876363"
"216","32876363"
"214","32876361"
"216","32876361"
"214","33070677"
"216","33070677"
"214","32876357"
"216","32876357"
"214","32876109"
"216","32876109"
"214","32876355"
"216","32876355"
"214","32876107"
"216","32876107"
"214","33070679"
"216","33070679"
"214","32876175"
"216","32876175"
"24","32766075"
"27","32766075"
"24","32766069"
"27","32766069"
"24","32766073"
"27","32766073"
"24","32768895"
"27","32768895"
"24","32766065"
"27","32766065"
"24","32766071"
"27","32766071"
"24","32766067"
"27","32766067"
"24","32768615"
"27","32768615"
"24","32768602"
"27","32768602"
"24","32768603"
"27","32768603"
"24","32768604"
"27","32768604"
"24","32768605"
"27","32768605"
"24","32768606"
"27","32768606"
"24","32768607"
"27","32768607"
"24","32768608"
"27","32768608"
"24","32768609"
"27","32768609"
"24","32768899"
"27","32768899"
"24","32768613"
"27","32768613"
"24","32768610"
"27","32768610"
"24","32768616"
"27","32768616"
"24","32768617"
"27","32768617"
"24","32768618"
"27","32768618"
"24","32768619"
"27","32768619"
"24","32768620"
"27","32768620"
"24","32768621"
"27","32768621"
"24","32768622"
"27","32768622"
"24","32768901"
"27","32768901"
"24","32781458"
"27","32781458"
"24","32768611"
"27","32768611"
"24","32768891"
"27","32768891"
"24","32768897"
"27","32768897"
"24","32768893"
"27","32768893"
"24","32768612"
"27","32768612"
"24","32787129"
"27","32787129"
"24","32787132"
"27","32787132"
"24","32787130"
"27","32787130"
"24","32787128"
"27","32787128"
"24","32787127"
"27","32787127"
"24","32787133"
"27","32787133"
"24","32787131"
"27","32787131"
"24","32787135"
"27","32787135"
"24","32787136"
"27","32787136"
"24","32787137"
"27","32787137"
"24","32787134"
"27","32787134"
"24","32768638"
"27","32768638"
"24","32768637"
"27","32768637"
"24","32766066"
"27","32766066"
"24","32768636"
"27","32768636"
"24","32768635"
"27","32768635"
"24","32768639"
"27","32768639"
"24","32768626"
"27","32768626"
"24","32768641"
"27","32768641"
"24","32768627"
"27","32768627"
"24","32768628"
"27","32768628"
"24","32768629"
"27","32768629"
"24","32768630"
"27","32768630"
"24","32768631"
"27","32768631"
"24","32768632"
"27","32768632"
"24","32768633"
"27","32768633"
"24","32768625"
"27","32768625"
"24","32768890"
"27","32768890"
"24","32768898"
"27","32768898"
"24","32768896"
"27","32768896"
"24","32768900"
"27","32768900"
"24","32781419"
"27","32781419"
"24","32766074"
"27","32766074"
"24","32766076"
"27","32766076"
"24","32768892"
"27","32768892"
"24","32768640"
"27","32768640"
"24","32766072"
"27","32766072"
"24","32768634"
"27","32768634"
"24","32768642"
"27","32768642"
"24","32766070"
"27","32766070"
"24","32768902"
"27","32768902"
"24","32768894"
"27","32768894"
"24","32768624"
"27","32768624"
"24","32766068"
"27","32766068"
"24","32787143"
"27","32787143"
"24","32787141"
"27","32787141"
"24","32787139"
"27","32787139"
